,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement,yard_size
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,1955,0,98178,47.5112,-122.257,1340,5650,0,4470
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,1951,1,98125,47.721000000000004,-122.319,1690,7639,400,4672
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,1933,0,98028,47.7379,-122.23299999999999,2720,8062,0,9230
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,1965,0,98136,47.5208,-122.39299999999999,1360,5000,910,3040
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,1987,0,98074,47.6168,-122.045,1800,7503,0,6400
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,1995,0,98003,47.3097,-122.32700000000001,2238,6819,0,5104
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,1963,0,98198,47.4095,-122.315,1650,9711,0,8651
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,1960,0,98146,47.5123,-122.337,1780,8113,730,5690
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,2003,0,98038,47.3684,-122.031,2390,7570,0,4670
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1965,0,98007,47.6007,-122.145,2210,8925,1700,6236
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,1942,0,98115,47.69,-122.292,1330,6000,300,4840
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,1977,0,98074,47.6127,-122.045,1370,10208,0,8310
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,1900,0,98107,47.67,-122.39399999999999,1360,4850,0,3040
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,1979,0,98126,47.5714,-122.375,2140,4000,970,2050
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,1994,0,98019,47.7277,-121.962,1890,14018,0,12150
